tree,location,position,m,ft,in
15,0,nd,2.896,9.5,0
15,0,nh,3.048,10,0
15,0,ml,1.143,0,45
15,0,mh,4.826,15,10
15,0,sd,3.383,11.1,0
15,0,sh,3.607,10,22
15,1,nd,1.524,5,0
15,1,nh,3.073,5,61
15,1,ml,1.041,0,41
15,1,mh,4.623,10,62
15,1,sd,3.261,10.7,0
15,1,sh,3.480,10,17
15,2,nd,1.433,4.7,0
15,2,nh,3.404,10,14
15,2,ml,1.702,0,67
15,2,mh,4.674,10,64
15,2,sd,2.652,8.7,0
15,2,sh,3.454,10,16
15,3,nd,2.134,7,0
15,3,nh,3.277,10,9
15,3,ml,1.473,0,58
15,3,mh,5.385,15,32
15,3,sd,3.200,10.5,0
15,3,sh,3.353,10,12
15,4,nd,2.743,9,0
15,4,nh,2.870,5,53
15,4,ml,1.295,0,51
15,4,mh,5.055,15,19
15,4,sd,3.688,12.1,0
15,4,sh,3.632,10,23
15,5,nd,2.225,7.3,0
15,5,nh,3.581,10,21
15,5,ml,1.168,0,46
15,5,mh,4.445,10,55
15,5,sd,3.627,11.9,0
15,5,sh,3.454,10,16
15,6,nd,1.829,6,0
15,6,nh,2.896,5,54
15,6,ml,1.372,0,54
15,6,mh,4.089,10,41
15,6,sd,2.682,8.8,0
15,6,sh,3.404,10,14
15,7,nd,0.000,0,0
15,7,nh,0.000,0,0
15,7,ml,0.000,0,0
15,7,mh,0.000,0,0
15,7,sd,0.000,0,0
15,7,sh,0.000,0,0
15,8,nd,0.000,0,0
15,8,nh,0.000,0,0
15,8,ml,0.000,0,0
15,8,mh,0.000,0,0
15,8,sd,0.000,0,0
15,8,sh,0.000,0,0
1,0,nd,2.591,8.5,0
1,0,ml,1.067,3.5,0
1,0,mh,6.096,20,0
1,0,sd,2.957,9.7,0
1,2,nd,1.585,5.2,0
1,2,ml,1.524,5,0
1,2,mh,4.420,14.5,0
1,2,sd,1.829,6,0
1,4,nd,2.652,8.7,0
1,4,ml,1.219,4,0
1,4,mh,5.334,17.5,0
1,4,sd,3.292,10.8,0
1,6,nd,1.768,5.8,0
1,6,ml,2.286,7.5,0
1,6,mh,5.029,16.5,0
1,6,sd,3.139,10.3,0
1,8,nd,2.621,8.6,0
1,8,ml,1.372,4.5,0
1,8,mh,5.182,17,0
1,8,sd,3.292,10.8,0
2,0,nd,1.768,5.8,0
2,0,ml,0.914,3,0
2,0,mh,4.420,14.5,0
2,0,sd,3.444,11.3,0
2,2,nd,2.652,8.7,0
2,2,ml,1.981,6.5,0
2,2,mh,5.029,16.5,0
2,2,sd,2.774,9.1,0
2,4,nd,2.438,8,0
2,4,ml,0.914,3,0
2,4,mh,5.334,17.5,0
2,4,sd,2.743,9,0
2,6,nd,1.890,6.2,0
